Conversiones,Inversion_USD,Puntaje_Creativo,Precision_Targeting,CTA_Claro,Num_Hashtags,Hora_Publicacion,Longitud_Texto,Dia_Semana
43,554,5,78,0,9,17.8,179,2
21,167,9,81,1,12,11.2,152,7
34,298,6,59,1,1,19,271,7
30,515,6,93,0,16,15.3,221,1
65,468,4,84,1,11,11.3,309,3
71,483,5,92,1,17,18.8,181,3
20,195,5,37,1,8,18.6,209,5
41,500,3,86,0,4,11.6,463,2
59,600,7,80,1,15,16.3,537,6
28,457,3,90,0,11,12.1,205,7
93,860,10,86,1,16,21.9,439,6
16,241,9,48,0,13,12,258,6
83,703,8,97,0,3,19.4,282,3
24,454,4,85,0,16,16.7,325,1
91,648,9,79,1,22,17.4,382,4
10,180,4,57,1,12,13,530,7
37,780,3,47,0,3,19.2,468,6
32,895,6,46,0,16,14.5,398,6
36,553,10,81,0,22,9.4,162,7
20,212,8,85,1,12,8.4,302,2
48,692,8,90,0,4,13.7,305,1
59,886,3,65,0,18,20.9,548,4
33,259,8,84,0,8,17.9,498,4
112,851,8,79,1,16,15.2,135,2
35,642,10,37,0,2,13.9,127,2
61,406,10,57,1,3,9.3,151,3
43,505,7,58,1,19,17.1,409,2
49,349,6,64,1,8,18.5,399,2
59,471,8,61,1,4,18.6,243,6
35,613,5,78,0,8,23,296,1
35,348,7,88,1,19,9.9,390,6
24,295,9,82,0,12,23.2,250,6
40,789,4,95,0,6,23.4,341,6
46,610,7,98,1,18,14.4,185,6
112,462,9,96,1,4,19.5,478,3
55,643,8,77,0,3,23,349,4
12,236,7,73,0,11,8.5,486,3
44,735,7,45,0,11,14,360,5
58,715,8,64,1,14,8.5,147,2
46,302,8,58,1,6,18.8,376,4
31,229,7,80,1,6,12.6,142,2
44,882,4,48,1,12,13.3,433,7
19,316,5,88,1,18,21.5,168,6
37,502,10,45,0,9,16.4,156,7
67,875,6,57,0,14,22.6,265,4
28,179,9,90,1,22,14.8,406,4
59,614,10,50,0,8,9.5,333,3
43,514,10,86,0,15,14.6,135,3
75,662,5,50,1,7,19.6,241,5
50,617,7,94,0,8,11.8,187,3
17,221,7,66,0,15,21.6,420,2
103,807,7,90,0,9,17.8,218,2
17,175,8,95,0,14,15.8,525,2
101,697,7,79,1,5,13.3,382,6
17,221,4,74,0,5,19.6,283,5
29,844,5,45,0,20,20.7,550,4
19,240,10,39,1,7,20.6,437,6
54,614,8,64,0,5,19.3,216,4
120,899,8,85,1,2,17.6,278,3
40,730,8,38,1,6,8.5,496,1
44,828,7,82,0,21,10.8,476,3
119,799,9,72,1,2,10.9,526,2
46,625,5,71,1,18,13.1,347,1
43,403,8,73,1,15,12.4,478,6
26,683,5,35,0,9,20.6,402,7
114,868,8,62,1,17,19.2,446,3
15,342,6,37,0,15,12.7,259,6
60,579,5,68,1,12,17.1,493,6
13,165,7,63,0,12,16.4,130,1
49,392,9,93,1,11,14.8,303,1
34,631,3,48,1,3,13.1,156,7
21,268,10,57,1,19,17.1,166,3
90,894,4,96,0,14,19,152,5
31,507,3,67,1,10,22,486,6
34,506,3,59,0,8,16,382,3
49,712,6,83,0,22,11.6,165,1
22,350,5,74,0,1,14.8,167,5
20,414,4,54,0,12,13.6,258,3
39,261,4,95,1,11,9.6,440,5
27,330,3,51,1,4,18.4,251,5
23,630,4,42,0,19,15.4,401,7
50,777,4,83,0,19,22.2,292,7
102,798,9,65,1,14,20.5,353,7
46,717,3,94,0,19,18.2,525,2
116,729,6,72,1,5,10.7,500,2
72,733,8,70,0,2,22.4,513,4
38,741,4,64,1,18,12.2,189,1
28,573,4,92,0,3,13.9,402,7
38,442,7,37,1,11,20.3,237,3
78,539,10,92,1,21,11.8,220,3
34,462,6,73,0,22,17.8,303,2
16,202,7,86,0,5,12.8,455,7
75,709,5,88,1,22,12.5,334,7
25,524,3,35,1,5,8.2,249,7
41,365,10,75,1,19,14.2,459,4
22,352,9,49,0,1,14.4,158,3
78,892,5,71,1,8,9.5,243,3
52,562,9,52,1,21,15.6,336,5
32,208,6,88,1,10,11.9,402,5
19,331,6,98,0,19,13.4,328,5
105,614,10,71,1,10,12.9,245,2
54,824,5,38,1,3,13.8,309,1
50,684,4,77,1,19,17.8,342,3
79,569,5,67,1,5,14.8,447,4
38,480,5,86,1,1,16.3,492,1
62,887,3,86,1,20,14.3,403,7
64,892,10,41,0,4,18.3,436,1
27,287,9,46,1,7,16.1,283,1
40,594,5,42,1,9,23,183,6
41,561,5,75,0,14,11.1,491,2
24,570,3,59,0,16,18.9,320,7
29,623,9,53,0,1,8.6,249,2
20,154,9,73,1,14,20.4,202,6
43,446,5,43,1,7,22.7,509,3
24,315,3,77,0,12,18.4,134,6
44,860,4,36,1,10,15.5,331,5
30,523,7,43,1,21,9.4,430,2
62,579,10,91,0,15,15.2,509,5
15,209,4,98,0,19,10.5,547,4
18,200,8,70,0,10,17.7,376,2
41,770,6,95,0,22,22.6,353,5
57,749,5,43,1,9,10.3,238,4
36,458,9,42,1,21,20.5,214,4
32,323,9,69,0,12,20.6,289,4
41,758,5,35,1,1,9.2,271,2
41,306,10,45,1,8,9.4,443,5
43,519,9,47,1,10,16.4,475,2
77,833,6,92,0,11,17.1,235,1
48,835,7,83,0,16,9.4,480,4
14,151,3,81,1,7,15.9,375,3
27,309,5,72,0,5,17.9,168,1
32,695,6,59,0,1,14,171,7
48,750,5,83,0,15,11.3,188,5
53,739,9,54,0,15,21,170,4
74,807,5,53,1,15,14,151,2
39,365,8,85,0,5,16.9,182,5
19,280,10,76,0,4,10.1,529,7
32,385,4,49,1,5,18.8,138,5
90,773,8,72,1,11,13.7,120,5
23,673,5,42,0,13,14.6,361,6
31,541,9,38,1,1,13.6,429,6
128,809,7,79,1,6,23.3,391,4
28,202,5,85,1,14,16.9,206,3
46,791,6,68,0,7,18.3,311,6
66,323,9,92,1,7,23.4,134,2
45,693,8,53,1,16,21.6,530,4
37,395,3,76,1,2,14.8,506,2
35,422,9,49,0,7,14.6,416,7
31,339,9,94,0,11,22.6,393,2
20,537,3,35,0,13,19.4,255,1
126,597,8,93,1,4,11.4,544,4
88,678,6,86,1,7,11.4,202,3
43,430,3,60,1,7,15.4,537,6
86,895,9,64,1,1,10.2,275,2
27,347,4,67,1,20,15.8,480,7
68,676,6,39,1,13,18.4,169,4
44,634,5,40,1,11,21.9,471,1
26,779,4,52,0,17,22.8,249,3
42,568,9,63,0,5,13.4,209,7
62,592,8,95,1,20,13.7,206,3
40,863,4,47,0,11,21.6,485,3
85,775,10,88,0,9,22.8,457,2
27,403,8,51,1,20,16.3,406,2
63,861,8,88,0,5,14.1,425,6
37,311,8,72,1,15,11.3,180,2
44,612,3,63,1,17,9.6,354,4
50,677,6,90,0,18,15.2,247,5
23,344,6,86,0,9,18.6,194,6
43,855,6,82,0,17,18.5,213,1
24,590,4,59,0,21,8.5,372,2
20,270,10,52,0,6,11.7,273,3
109,819,10,85,1,3,21.7,353,2
36,515,8,64,0,10,10.2,296,1
39,477,4,69,1,19,18.7,520,1
49,463,8,73,1,1,14.5,156,6
45,532,4,73,1,13,20,267,4
69,834,9,86,0,20,9.6,506,4
17,255,3,81,0,2,9.2,201,7
80,816,10,45,1,6,22.6,191,3
20,359,5,62,1,15,8.6,397,3
66,845,7,46,1,20,14.9,363,1
67,737,3,59,1,6,19.8,138,4
65,567,3,90,1,19,12.8,346,4
15,397,5,35,0,1,14.8,195,5
46,814,4,38,1,4,8.9,342,5
30,408,10,51,0,15,11.9,387,4
19,355,3,98,0,17,8.6,322,7
82,807,7,96,0,12,11.9,273,2
43,747,3,80,1,17,8.2,457,1
33,476,10,42,1,3,9.4,198,1
68,694,8,51,1,13,21,217,5
70,684,3,97,0,10,17.1,312,7
80,680,10,96,0,2,15.2,456,5
37,592,7,40,1,18,17.5,204,5
65,749,5,94,0,3,18.8,217,5
21,184,8,70,1,14,19.9,411,5
26,386,6,38,1,19,17.5,492,3
46,857,6,60,0,16,15.3,347,1
42,624,3,59,1,5,8.1,527,5
37,733,8,54,0,4,10,128,7
97,811,4,88,0,5,20.2,499,2
29,404,5,77,1,12,16,141,5
38,278,4,92,1,7,13.3,507,7
61,788,7,49,1,11,10.4,380,6
